COUNTRY_REGION,DECADE,VALUE_HFA_33,VALUE_HFA_36,VALUE_HFA_39,VALUE_HFA_43,VALUE_HFA_426
ALB,2020,5332.16,,,,
ALB,2020,6494.39,98.45,,,
AND,2020,37416.7,,,,
AND,2020,43047.69,,,,
ARM,2020,4266.02,99.79,46.52,,
ARM,2020,4670.01,,,,
AUT,2020,48588.66,,,81.49,
AUT,2020,53267.93,,,81.42,
AZE,2020,4229.91,,,,
AZE,2020,5384.03,,,,
BEL,2020,45189.37,,,,
BEL,2020,51767.79,,,,
BGR,2020,10079.2,,26.05,73.63,
BGR,2020,11634.97,98.42,,,
BIH,2020,6082.37,,13.69,,
BIH,2020,6916.44,98.1,,,
BLR,2020,6555.43,,,,
BLR,2020,7303.7,,,,
CARINFONET,2020,3908.11,,,,
CHE,2020,87100.41,,,,
CHE,2020,93457.44,,,,
CIS,2020,7156.54,,,,
CYP,2020,27681.57,,40.12,82.35,
CYP,2020,30798.48,99.36,,,
CZE,2020,22933.5,,,78.37,
CZE,2020,26378.5,,,77.28,
DEU,2020,46252.69,,39.53,81.24,
DEU,2020,50801.79,,,,
DNK,2020,61063.32,,38.02,81.85,
DNK,2020,67803.05,,,,
ESP,2020,27056.42,98.59,33.54,82.44,
ESP,2020,30115.71,,,83.41,
EST,2020,23054.36,,48.59,,
EST,2020,27280.66,99.87,,,
EU_AFTER_MAY2004,2020,16257.35,,,76.67,
EU_BEFORE_MAY2004,2020,39786.47,,,82.02,
EU_MEMBERS,2020,33937.66,,,81,
EU_BEFORE_FEB2020,2020,34871.67,,,80.94,
FIN,2020,49160.84,,,82.14,
FIN,2020,53982.61,,,,
FRA,2020,39037.12,,,,
FRA,2020,43518.54,,,,
GBR,2020,41098.08,,,80.52,
GBR,2020,47334.36,,,,
GEO,2020,4255.74,,,73.36,
GEO,2020,5042.39,,,71.44,
GRC,2020,17647.23,,34.83,81.46,
GRC,2020,20276.54,,,,
HRV,2020,14132.49,,,77.89,
HRV,2020,17398.77,99.45,,,
HUN,2020,16075.97,,31.76,,
HUN,2020,18772.67,99.1,,,
IRL,2020,85422.54,,,,
IRL,2020,99152.1,,,,
ISL,2020,59264.03,,46.07,83.25,
ISL,2020,68383.77,,,83.32,
ISR,2020,44177.57,,,83.07,
ISR,2020,51430.08,,,,
ITA,2020,31834.97,,17.14,,
ITA,2020,35551.28,,,,
KAZ,2020,9121.64,99.8,,71.43,
KAZ,2020,10041.49,,,70.27,
KGZ,2020,1182.52,,,,
KGZ,2020,1276.24,,,,
LTU,2020,20232.3,,58.04,75.18,
LTU,2020,23433.39,99.83,,74.29,
LUX,2020,116356.16,,,83.12,
LUX,2020,135682.79,,,83.64,
LVA,2020,17703.95,,,75.73,
LVA,2020,20642.17,99.89,,73.43,
MCO,2020,173688.19,,,,
MDA,2020,4525.76,,,,
MDA,2020,5314.53,99.6,,,
MKD,2020,5846.47,,21.96,74.39,
MKD,2020,6720.9,,,73.08,
MLT,2020,28946.46,,32.73,,
MLT,2020,33257.42,94.94,,,
MNE,2020,7694.63,,,,
MNE,2020,9367.02,98.98,,,
NLD,2020,52396.03,,36.96,81.84,
NLD,2020,58061,,,,
NOR,2020,67329.68,,,,
NOR,2020,89202.75,,,,
NORDIC,2020,56566.69,,,82.41,
POL,2020,15742.45,,31.48,76.65,
POL,2020,17840.92,99.8,,,
PRT,2020,22194.57,,23.11,,
PRT,2020,24262.18,96.78,,,
ROU,2020,12956.57,,,,
ROU,2020,14861.91,98.9,,,
RUS,2020,10161.98,99.7,,,
RUS,2020,12172.79,,,,
SEEHN,2020,15264.19,,,,
SMALL,2020,46333.1,,,,
SMR,2020,45515.76,,,,
SRB,2020,7730.69,,,74.48,
SRB,2020,9214.99,,,72.81,
SVK,2020,19266.51,,,,
SVK,2020,21087.85,,,,
SVN,2020,25489.5,,,80.67,
SVN,2020,29200.82,,,,
SWE,2020,52300.21,,,,
SWE,2020,60238.99,,,,
TJK,2020,852.83,,,,
TJK,2020,897.09,,,,
TUR,2020,8536.43,,,,
TUR,2020,9586.61,,,,
UKR,2020,3751.74,,,,
UKR,2020,4835.57,100,,,
UZB,2020,1749.66,,,,
UZB,2020,1983.06,100,,,
WESTERN_BALKANS,2020,6698.48,,,,
WHO_EURO,2020,24018.76,,,,
ALB,2010,4094.35,,,,4.88
ALB,2010,4437.14,96.85,12,,5.03
ALB,2010,4247.63,97.25,,,4.43
ALB,2010,4413.06,,,,4.28
ALB,2010,4578.63,,,,4.1
ALB,2010,3952.8,,,,4.33
ALB,2010,4124.06,,,,4.38
ALB,2010,4531.02,,,,4.39
ALB,2010,5287.66,98.14,,,4.44
ALB,2010,5396.22,,,,4.4
AND,2010,40849.76,,,,10.53
AND,2010,43333.97,,,,10.46
AND,2010,38684.57,,,,10.33
AND,2010,39538.36,,,,10.06
AND,2010,41302.38,,32.68,,9.88
AND,2010,35770.92,,32.42,,11.02
AND,2010,37474.75,,32.23,,11.18
AND,2010,38964.66,,,,11.18
AND,2010,41793.32,,,,10.72
AND,2010,40898.42,,,,10.99
ARM,2010,3218.38,,,,4.23
ARM,2010,3525.81,99.74,46.96,,4.07
ARM,2010,3681.84,,,74.64,3.89
ARM,2010,3838.17,,,75.17,3.92
ARM,2010,3986.23,,,75.18,4.22
ARM,2010,3607.29,,50.56,75.17,4.04
ARM,2010,3591.83,99.74,,,3.83
ARM,2010,3914.53,99.74,46.73,75.98,3.83
ARM,2010,4220.54,,,76.67,3.69
ARM,2010,4604.65,,,76.75,3.77
AUT,2010,46903.76,,26.17,80.88,12.1
AUT,2010,51442.28,,26.34,81.27,11.9
AUT,2010,48564.92,,26.99,81.19,12.1
AUT,2010,50731.13,,27.83,81.4,12.1
AUT,2010,51786.38,,27.98,81.79,12.4
AUT,2010,44195.82,,29.14,81.45,11.6
AUT,2010,45307.59,,29.98,81.93,11.7
AUT,2010,47429.16,,30.63,81.87,11.6
AUT,2010,51486.58,,,81.91,11.6
AUT,2010,50114.4,,32.12,82.16,11.9
AZE,2010,5843.53,99.77,29.97,,0.99
AZE,2010,7189.69,99.78,30,,0.6
AZE,2010,7496.29,99.78,30.04,,0.52
AZE,2010,7875.76,99.79,30.04,,0.52
AZE,2010,7891.31,99.79,30.06,,0.36
AZE,2010,5500.31,99.79,30.04,,0.51
AZE,2010,3880.74,99.79,30.09,,0.39
AZE,2010,4147.09,99.79,30.06,,0.44
AZE,2010,4739.84,,30.06,,0.88
AZE,2010,4805.75,99.8,30.02,,1.38
BEL,2010,44184.95,,31.74,80.3,10.27
BEL,2010,47410.57,,32.16,80.66,10.14
BEL,2010,44670.56,,32.71,80.51,10.09
BEL,2010,46757.95,,32.99,80.79,10.33
BEL,2010,47764.07,,32.8,81.51,10.57
BEL,2010,41008.3,,33.26,81.19,10.36
BEL,2010,42012.62,,33.76,81.65,9.42
BEL,2010,44198.48,,36.38,81.7,9.3
BEL,2010,47549.21,,,81.81,9.22
BEL,2010,46599.11,,37.07,,9.15
BGR,2010,6853,,,73.81,9.82
BGR,2010,7849.17,98.35,,74.23,9.88
BGR,2010,7432.48,,21.51,74.44,10.88
BGR,2010,7681.93,,22.92,74.96,10.32
BGR,2010,7901.79,,24.06,74.57,10.3
BGR,2010,7074.68,,24.47,74.71,10.89
BGR,2010,7569.48,,24.63,74.94,11.13
BGR,2010,8366.29,,24.71,74.88,10.93
BGR,2010,9446.7,,,75.02,11.53
BGR,2010,9879.27,,,75.19,11.18
BIH,2010,4635.51,,9.23,,4.57
BIH,2010,5092.55,98.14,9.85,76.66,4.71
BIH,2010,4777.07,,,,4.83
BIH,2010,5129.66,96.99,,,4.69
BIH,2010,5330.36,,11.3,77.54,4.69
BIH,2010,4729.69,,11.47,,4.9
BIH,2010,4994.97,,11.88,76.28,5.04
BIH,2010,5394.27,,,,5.25
BIH,2010,6070.35,,11.86,,5.44
BIH,2010,6119.76,,,,5.46
BLR,2010,6033.69,,,70.52,14.43
BLR,2010,6527.17,,,70.77,14.5
BLR,2010,6953.13,,,,13.56
BLR,2010,7998.13,,,72.8,12.58
BLR,2010,8341.4,,,73.37,11.29
BLR,2010,5967.05,,,,9.79
BLR,2010,5039.68,,,,9.74
BLR,2010,5785.67,,,,9.76
BLR,2010,6360.06,99.76,,74.6,10.08
BLR,2010,6837.72,99.87,73.77,,10.57
CARINFONET,2010,3667.05,,,71.53,2.65
CARINFONET,2010,4582.22,,,71.71,2.49
CARINFONET,2010,4970.34,,,71.99,2.69
CARINFONET,2010,5484.89,,,72.47,2.73
CARINFONET,2010,5413.32,99.8,,72.69,2.97
CARINFONET,2010,4702.9,,,72.96,2.88
CARINFONET,2010,3928.29,,,73.28,2.85
CARINFONET,2010,3951.57,,,,2.99
CARINFONET,2010,3982.91,99.9,,,2.9
CARINFONET,2010,4121.74,,,,2.75
CHE,2010,77117.13,,38.16,82.82,10.01
CHE,2010,91254.03,,38.7,83,9.99
CHE,2010,86547.67,,37.76,82.98,9.87
CHE,2010,88109.49,,,83.08,9.74
CHE,2010,89684.71,,,,9.62
CHE,2010,84776.14,,,83.18,9.62
CHE,2010,83073.28,,,83.88,9.28
CHE,2010,83352.09,,,83.82,9.16
CHE,2010,86388.4,,,84.01,9.17
CHE,2010,85334.52,,,84.21,9.41
CIS,2010,7317.78,,,70.09,8.13
CIS,2010,9557.29,,,70.81,8.2
CIS,2010,10285.73,,,71.16,8.06
CIS,2010,10748.44,,,71.6,7.64
CIS,2010,9626.33,,,71.83,6.99
CIS,2010,6669.67,,,72.21,6.24
CIS,2010,6099.36,,,,5.99
CIS,2010,7259.77,,,,5.64
CIS,2010,7667.33,,,,5.75
CIS,2010,7926.96,,,,5.78
CYP,2010,31023.64,,32.55,82.2,11.33
CYP,2010,32396.39,98.68,34.04,81.92,10.71
CYP,2010,28912.16,,35.67,81.77,10.58
CYP,2010,27729.19,,35.75,82.55,9.07
CYP,2010,27163.33,,37.22,82.39,9.63
CYP,2010,23408.34,,36.9,81.67,9.59
CYP,2010,24605.92,,38.24,82.74,9.59
CYP,2010,26608.88,,,82.1,9.59
CYP,2010,29334.11,,39.17,82.72,9.59
CYP,2010,29206.08,,,82.25,9.59
CZE,2010,19960.07,,,77.81,12.68
CZE,2010,21871.27,,,78.06,12.56
CZE,2010,19870.8,,19.01,78.24,12.83
CZE,2010,20133.17,,19.96,78.4,12.54
CZE,2010,19890.92,,18.97,79.02,12.75
CZE,2010,17829.7,,19.53,78.77,12.76
CZE,2010,18575.23,,20.24,79.25,12.92
CZE,2010,20636.2,,,79.16,12.73
CZE,2010,23419.74,,,79.21,12.73
CZE,2010,23660.15,,,79.45,12.73
DEU,2010,41572.46,,30.26,80.63,11.58
