Time,Country,Access to clean fuels and technologies for cooking,GDP per capita (constant 2015 US$),"Life expectancy at birth, total (years) ","Literacy rate, adult total",Access to electricity,"Employment to population ratio, 15+",CO2 emissions ,Mobile cellular subscriptions ,Poverty headcount ratio at $2.15 a day 
1994,Andorra,,28144.38762,,,100,,6.663237053,1.284466799,
1994,Austria,,32962.81742,76.4195122,,100,56.975,7.344674059,3.505812272,0.2
1994,Burundi,,408.4193162,44.08,,,,0.037698643,0.006766423,
1994,Cameroon,,1048.987213,53.528,,34.99950409,,0.359510438,0.012452465,
1994,"Gambia, The",,633.5704196,54.721,,18.25004959,,0.171824441,0.067336605,
1994,Iceland,,,79.24707317,,100,75.151,7.85892843,8.205496124,
1994,"Korea, Dem. People's Rep.",,,70.718,,,,3.782481291,0,
1994,"Korea, Rep.",,12358.51802,73.39756098,,99.98912048,60.062,7.936041185,2.126074209,
1994,Malta,,11689.76554,76.49985366,,100,,6.688954287,1.981176185,
1994,Moldova,,,65.07,,100,,4.764210629,0,
1994,New Caledonia,,,70.67317073,,99.96508026,,,0,
1994,Norway,,56343.01054,77.6897561,,100,64.85,7.935317263,13.56959375,
1994,Portugal,,15193.05474,74.91463415,,100,54.527,4.734302321,1.731944488,
1994,Somalia,,,50.327,,,,0.090964892,0,
1994,Bhutan,,892.6324124,58.635,,,,0.395004412,0,
1994,Ghana,,915.2893077,56.112,,30.36940575,,0.171036029,0.019576484,
1994,Canada,,32087.02853,77.87170732,,100,58.382,15.06050396,6.437896665,1
1994,Guinea,,562.316641,49.171,,,,0.154486739,0.01118132,40.8
1995,Andorra,,28051.4032,,,100,,6.754131706,4.489257564,
1995,Austria,,33790.48499,76.66829268,,100,56.846,7.698069947,4.825981063,0
1995,Burundi,,354.1161809,44.059,,,,0.036559571,0.0095065,
1995,Cameroon,,1049.706663,53.222,,36.14777374,,0.354195052,0.021193421,
1995,"Gambia, The",,620.4930816,55.464,,19.92144394,,0.174615889,0.116088572,
1995,Iceland,,34188.35059,77.98439024,,100,77.975,7.481792214,11.53724022,
1995,"Korea, Dem. People's Rep.",,,60.894,,,,3.495216733,0,
1995,"Korea, Rep.",,13411.11192,73.7,,100,60.657,8.546915861,3.615707017,
1995,Malta,,12344.82635,77.2902439,87.86869812,100,,6.302809345,2.825993589,
1995,Moldova,,1512.157196,65.099,,100,,4.111302993,0.000313815,
1995,New Caledonia,,,72.0097561,,100,,,0.413117611,
1995,Norway,,58380.56847,77.73658537,,100,65.04,7.888907649,22.5104391,0.5
1995,Portugal,,15788.98311,75.31219512,,100,54.03,5.056085191,3.391071437,
1995,Somalia,,,50.6,,,,0.08296988,0,
1995,Bhutan,,944.4075556,59.516,,,,0.466375754,0,
1995,Ghana,,931.1804337,56.565,,32.4504509,,0.182603533,0.035552754,
1995,Canada,,32612.23203,77.97731707,,100,58.673,15.29046634,8.842031473,0.7
1995,Guinea,,571.9827514,49.866,,,,0.155523036,0.012720352,
1996,Andorra,,28797.86673,,,100,,7.08273185,8.555349432,
1996,Austria,,34537.73957,76.87073171,,100,55.722,8.15463769,7.523308814,0
1996,Burundi,,325.9119164,44.373,,,,0.037652767,0.009459562,
1996,Cameroon,,1064.646045,52.82,,37.29332352,62.84,0.350297348,0.025782073,50.4
1996,"Gambia, The",,615.9839026,56.009,,21.59011841,,0.171921787,0.242050865,
1996,Iceland,,35557.27725,78.77780488,,100,78.236,8.429100537,17.39083586,
1996,"Korea, Dem. People's Rep.",,,60.956,,,,3.036147805,0,
1996,"Korea, Rep.",,14332.13672,74.15121951,,100,60.834,9.005890673,6.966660745,
1996,Malta,,12727.29915,77.34146341,,100,,6.118108474,3.24448632,
1996,Moldova,,1426.139375,64.241,,100,38.45,3.529577819,0.02076658,
1996,New Caledonia,,,71.99756098,96.13791656,100,41.46,,1.009378399,
1996,Norway,,61005.90835,78.1504878,,100,67.488,7.896472674,28.79018877,
1996,Portugal,,16280.93715,75.26097561,,100,53.511,4.843279648,6.578849672,
1996,Somalia,,,50.447,,,,0.076976092,0,
1996,Bhutan,,978.49497,60.212,,,,0.551745694,0,
1996,Ghana,,951.9227951,56.82,,34.52877045,,0.195208364,0.071542215,
1996,Canada,,32795.66535,78.2202439,,100,58.451,15.59261401,11.81927704,0.2
1996,Guinea,,580.8000659,50.544,20.55374908,,,0.160143379,0.012364775,
1997,Andorra,,31149.37029,,,100,,7.194088,13.32364491,
