BOARD,NAME,ADDRESS_AB,POSTAL_COD,CITY,PROVINCE,PHONE_NO,FAX_NO,EMAIL,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,GLOBAL_ID,POINT
The Calgary School Division,David Thompson School,9320 Arbour Cres SE,T2J1K4,Calgary,AB,(403) 777-7470,,davidthompson@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{A56C0215-3848-4863-A4D3-DC36327159B9},POINT (-114.0546514 50.9694036)
Connect Charter School Society,Connect Charter School,5915 Lewis Drive S.W.,T3E5Z4,Calgary,AB,(403) 282-2890,,office@connectcharter.ca,Elementary/Junior High,N,N,Y,Y,N,{F57CF224-BFE6-4C79-A201-C4F8A3800F04},POINT (-114.1357584 51.0003735)
The Calgary Roman Catholic Separate School Division,Prince of Peace School,43 Auburn Meadows Blvd SE,T3M2C9,Calgary,AB,(403) 500-2125,,princeofpeace@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{12C8ED21-0BFA-45A7-80F2-85D719166E3D},POINT (-113.9498421 50.8932639)
The Calgary School Division,Colonel Walker School,1921  9 Ave SE,T2G0V3,Calgary,AB,(403) 777-6780,,colonelwalker@cbe.ab.ca,Elementary,N,N,Y,N,N,{D617F8E8-158B-471D-9254-9F099FE43573},POINT (-114.0190347 51.034362)
The Calgary School Division,Alternative High School,5003  20 St SW,T2T5A5,Calgary,AB,(403) 777-7730,,alternative@cbe.ab.ca,Senior High,N,N,N,N,Y,{779B7375-BF66-47C8-930D-5678241C9570},POINT (-114.10996 51.0096595)
The Calgary School Division,James Fowler High School,4004  4 St NW,T2K1A1,Calgary,AB,(403) 230-4743,,jamesfowler@cbe.ab.ca,Senior High,N,N,N,N,Y,{DAFB39EA-5E1A-4AB8-B350-9A82B387C648},POINT (-114.0705163 51.0865321)
The Calgary Roman Catholic Separate School Division,St. Jerome Elementary School,11616 Panorama Hills Blvd NW,T3K5S3,Calgary,AB,(403) 500-2115,,stjerome@cssd.ab.ca,Elementary,N,N,Y,N,N,{12A7D8C8-BB13-45A3-95C0-23058013AB32},POINT (-114.0792827 51.1577112)
The Calgary Roman Catholic Separate School Division,St. John Paul II School,119 Castleridge Drive N.E.,T3J1P6,Calgary,AB,(403) 500-2085,,stjohnpaul2@cssd.ab.ca,Elementary,N,N,Y,N,N,{0EFE8789-DA0B-4600-876D-3ABB83D03A85},POINT (-113.9561994 51.1077102)
The Calgary School Division,McKenzie Towne School,679 Prestwick Cir SE,T2Z0V3,Calgary,AB,,,mckenzietowneSchool@cbe.ab.ca,Elementary,N,N,Y,N,N,{B0EE8572-7958-496B-BBE8-765BE2C0E190},POINT (-113.9667175 50.9270487)
The Calgary School Division,CLS Alternative Site,45 Saddletowne Circle NE,T3J4W3,Calgary,AB,(403) 777-7272,,chinooklearning@cbe.ab.ca,Unknown,N,N,N,N,N,{BE752E17-3243-49D3-8B1B-A142AFA91AE7},POINT (-113.9488457 51.1219806)
The Calgary School Division,Queen Elizabeth School,402 18 St NW,T2N2G5,Calgary,AB,(403) 777-6789,,queenelizabethelem@cbe.ab.ca,Elementary,N,N,Y,N,N,{93E10CE5-5286-4BD4-ADF4-7461566AA663},POINT (-114.1019611 51.0554584)
Ahmadiyya Muslim Schools Society Alberta,Ahmadiyya Muslim School,4353,T3J4L3,Calgary,AB,(403) 355-6313,,info.calgary@ahmadiyyaschool.ca,Elementary/Junior High,N,N,Y,Y,N,{EB279E44-1F03-44BA-B388-205071A40D2C},POINT (-113.9712639 51.1018352)
Alberta Classical Academy Ltd.,Calgary Classical Academy,231 6 St NE,T2E3Y1,Calgary,AB,(587) 885-3688,,info@calgaryclassicalacademy.ca,Elementary,N,N,Y,N,N,{DD905B64-9573-4694-8FB4-8A4CDB30273D},POINT (-114.0488198 51.0544219)
The Calgary School Division,Bowcroft School,3940  73 St NW,T3B2L9,Calgary,AB,(403) 777-6020,,bowcroft@cbe.ab.ca,Elementary,N,N,Y,N,N,{668DE2D5-08CB-4AC9-9CF1-6F5FCA7B702E},POINT (-114.1927889 51.0875591)
The Calgary Roman Catholic Separate School Division,Our Lady of Lourdes,1916 2nd Street SW,T2S1S3,Calgary,AB,(403) 500-2002,,ourladyoflourdes@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{91648172-1EFC-4632-BEBC-719B8C122F15},POINT (-114.0681603 51.0356731)
The Calgary Roman Catholic Separate School Division,St. Sylvester School,7318 Silver Springs Blvd NW.,T3B4N1,Calgary,AB,(403) 500-2063,,stsylvester@cssd.ab.ca,Elementary,N,N,Y,N,N,{DC102085-6F83-4D3A-A87E-6A89F0C1566B},POINT (-114.1943526 51.1092551)
The Calgary School Division,Centennial High School,55 Sun Valley Blvd SE,T2X3W7,Calgary,AB,(403) 256-8140,,centennialhigh@cbe.ab.ca,Senior High,N,N,N,N,Y,{DD69EF0B-70B6-42DB-940A-11C2305636EA},POINT (-114.0533548 50.9061097)
