"INDICATOR","HFA_52"

"HFA_52","Life expectancy at age 45 (years), by sex"

"UNIT_TYPE","Unit"
"YEARS","years"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","32.38"
"ALB","","ALL","1988","32.41"
"ALB","","ALL","1989","32.17"
"ALB","","ALL","1990","32.54"
"ALB","","ALL","1992","33.67"
"ALB","","ALL","1993","34.33"
"ALB","","ALL","1994","35.32"
"ALB","","ALL","1995","34.43"
"ALB","","ALL","1996","33.8"
"ALB","","ALL","1997","34.7"
"ALB","","ALL","1998","33.97"
"ALB","","ALL","1999","34.53"
"ALB","","ALL","2000","33.19"
"ALB","","ALL","2001","35.28"
"ALB","","ALL","2002","34.39"
"ALB","","ALL","2003","33.54"
"ALB","","ALL","2004","33.9"
"ALB","","ALL","2005","34.48"
"ALB","","ALL","2006","35.07"
"ALB","","ALL","2007","36.8"
"ALB","","ALL","2008","35.97"
"ALB","","ALL","2009","36.56"
"ARM","","ALL","1981","33.42"
"ARM","","ALL","1982","32.99"
"ARM","","ALL","1985","32.26"
"ARM","","ALL","1986","32.41"
"ARM","","ALL","1987","32.21"
"ARM","","ALL","1988","29.13"
"ARM","","ALL","1989","31.31"
"ARM","","ALL","1990","30.99"
"ARM","","ALL","1991","31.15"
"ARM","","ALL","1992","30.62"
"ARM","","ALL","1993","30.14"
"ARM","","ALL","1994","31.59"
"ARM","","ALL","1995","31.23"
"ARM","","ALL","1996","31.38"
"ARM","","ALL","1997","32.16"
"ARM","","ALL","1998","32.84"
"ARM","","ALL","1999","32.55"
"ARM","","ALL","2000","33.59"
"ARM","","ALL","2001","33.65"
"ARM","","ALL","2002","30.5"
"ARM","","ALL","2003","30.47"
"ARM","","ALL","2008","31.06"
"ARM","","ALL","2009","31.25"
"ARM","","ALL","2012","32.06"
"ARM","","ALL","2013","32.31"
"ARM","","ALL","2014","32.34"
"ARM","","ALL","2015","32.38"
"ARM","","ALL","2017","32.98"
"ARM","","ALL","2018","33.6"
"ARM","","ALL","2019","33.48"
"AUT","","ALL","1969","29.42"
"AUT","","ALL","1970","29.54"
"AUT","","ALL","1971","29.87"
"AUT","","ALL","1972","30.11"
"AUT","","ALL","1973","30.49"
"AUT","","ALL","1974","30.44"
"AUT","","ALL","1975","30.38"
"AUT","","ALL","1976","30.52"
"AUT","","ALL","1977","30.81"
"AUT","","ALL","1978","30.74"
"AUT","","ALL","1979","31.03"
"AUT","","ALL","1980","31.13"
"AUT","","ALL","1981","31.25"
"AUT","","ALL","1982","31.48"
"AUT","","ALL","1983","31.35"
"AUT","","ALL","1984","31.9"
"AUT","","ALL","1985","32"
"AUT","","ALL","1986","32.36"
"AUT","","ALL","1987","32.69"
"AUT","","ALL","1988","32.99"
"AUT","","ALL","1989","33.08"
"AUT","","ALL","1990","33.28"
"AUT","","ALL","1991","33.34"
"AUT","","ALL","1992","33.43"
"AUT","","ALL","1993","33.61"
"AUT","","ALL","1994","33.98"
"AUT","","ALL","1995","34.07"
"AUT","","ALL","1996","34.19"
"AUT","","ALL","1997","34.46"
"AUT","","ALL","1998","34.73"
"AUT","","ALL","1999","34.93"
"AUT","","ALL","2000","35.29"
"AUT","","ALL","2001","35.69"
"AUT","","ALL","2002","35.65"
"AUT","","ALL","2003","35.55"
"AUT","","ALL","2004","36.04"
"AUT","","ALL","2005","36.23"
"AUT","","ALL","2006","36.66"
"AUT","","ALL","2007","36.88"
"AUT","","ALL","2008","37.09"
"AUT","","ALL","2009","36.99"
"AUT","","ALL","2010","37.29"
"AUT","","ALL","2011","37.6"
"AUT","","ALL","2012","37.44"
"AUT","","ALL","2013","37.59"
"AUT","","ALL","2014","37.99"
"AUT","","ALL","2015","37.63"
"AUT","","ALL","2016","38.08"
"AUT","","ALL","2017","37.98"
"AUT","","ALL","2018","38.03"
"AUT","","ALL","2019","38.32"
"AUT","","ALL","2020","37.62"
"AUT","","ALL","2021","37.55"
"AZE","","ALL","1981","31.17"
"AZE","","ALL","1982","31.13"
"AZE","","ALL","1985","30.75"
"AZE","","ALL","1986","31.1"
"AZE","","ALL","1987","30.99"
"AZE","","ALL","1988","30.71"
"AZE","","ALL","1989","31.44"
"AZE","","ALL","1990","31.71"
"AZE","","ALL","1991","31.49"
"AZE","","ALL","1992","30.6"
"AZE","","ALL","1993","30.14"
"AZE","","ALL","1994","30.13"
"AZE","","ALL","1995","30.12"
"AZE","","ALL","1996","30.56"
"AZE","","ALL","1997","30.97"
"AZE","","ALL","1998","31.13"
"AZE","","ALL","1999","30.96"
"AZE","","ALL","2000","30.45"
"AZE","","ALL","2001","31.11"
"AZE","","ALL","2002","30.98"
"AZE","","ALL","2003","30.57"
"AZE","","ALL","2004","30.75"
"AZE","","ALL","2007","31.57"
"BEL","","ALL","1968","29.4"
"BEL","","ALL","1969","29.48"
"BEL","","ALL","1970","29.76"
"BEL","","ALL","1971","29.81"
"BEL","","ALL","1972","30.03"
"BEL","","ALL","1973","30.1"
"BEL","","ALL","1974","30.37"
"BEL","","ALL","1975","30.26"
"BEL","","ALL","1976","30.4"
"BEL","","ALL","1977","30.94"
"BEL","","ALL","1978","30.83"
"BEL","","ALL","1979","31.29"
"BEL","","ALL","1980","31.22"
"BEL","","ALL","1981","31.49"
"BEL","","ALL","1982","31.69"
"BEL","","ALL","1983","31.65"
"BEL","","ALL","1984","32.03"
"BEL","","ALL","1985","32.24"
"BEL","","ALL","1986","32.46"
"BEL","","ALL","1987","33.03"
"BEL","","ALL","1988","33.24"
"BEL","","ALL","1989","33.21"
"BEL","","ALL","1990","33.67"
"BEL","","ALL","1991","33.81"
"BEL","","ALL","1992","33.91"
"BEL","","ALL","1993","33.84"
"BEL","","ALL","1994","34.22"
"BEL","","ALL","1995","34.25"
"BEL","","ALL","1996","34.48"
"BEL","","ALL","1997","34.58"
"BEL","","ALL","1998","34.66"
"BEL","","ALL","1999","34.8"
"BEL","","ALL","2000","34.97"
"BEL","","ALL","2001","35.28"
"BEL","","ALL","2002","35.16"
"BEL","","ALL","2003","35.19"
"BEL","","ALL","2004","35.77"
"BEL","","ALL","2005","35.82"
"BEL","","ALL","2006","36.4"
