"INDICATOR","HFA_36"

"HFA_36","Literacy rate (%) in population aged 15+ years, by sex"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1970","51.5"
"ALB","","ALL","1975","59.2"
"ALB","","ALL","1980","66.1"
"ALB","","ALL","1985","71.7"
"ALB","","ALL","1990","77"
"ALB","","ALL","1992","85"
"ALB","","ALL","1993","85"
"ALB","","ALL","1994","85"
"ALB","","ALL","1995","81.2"
"ALB","","ALL","1997","85"
"ALB","","ALL","1998","83.5"
"ALB","","ALL","2001","98.71"
"ALB","","ALL","2008","95.94"
"ALB","","ALL","2011","96.85"
"ALB","","ALL","2012","97.25"
"ALB","","ALL","2018","98.14"
"ALB","","ALL","2021","98.45"
"ARM","","ALL","1970","91.6"
"ARM","","ALL","1975","94.7"
"ARM","","ALL","1980","95.9"
"ARM","","ALL","1985","96.8"
"ARM","","ALL","1989","98.8"
"ARM","","ALL","1990","97.5"
"ARM","","ALL","1992","98.8"
"ARM","","ALL","1993","98.8"
"ARM","","ALL","1994","98.8"
"ARM","","ALL","1995","98"
"ARM","","ALL","1997","98.8"
"ARM","","ALL","1998","98.2"
"ARM","","ALL","2001","99.4"
"ARM","","ALL","2011","99.74"
"ARM","","ALL","2016","99.74"
"ARM","","ALL","2017","99.74"
"ARM","","ALL","2020","99.79"
"AUT","","ALL","1980","100"
"AUT","","ALL","1985","99"
"AUT","","ALL","1990","99"
"AUT","","ALL","1991","99"
"AUT","","ALL","1992","99"
"AUT","","ALL","1993","99"
"AUT","","ALL","1994","99"
"AUT","","ALL","1995","99"
"AUT","","ALL","1997","99"
"AUT","","ALL","1998","99"
"AZE","","ALL","1989","97.3"
"AZE","","ALL","1990","97"
"AZE","","ALL","1991","97.3"
"AZE","","ALL","1992","96.3"
"AZE","","ALL","1993","96.3"
"AZE","","ALL","1994","96.3"
"AZE","","ALL","1995","96.3"
"AZE","","ALL","1997","96.3"
"AZE","","ALL","1998","99"
"AZE","","ALL","1999","98.79"
"AZE","","ALL","2007","99.6"
"AZE","","ALL","2009","99.76"
"AZE","","ALL","2010","99.77"
"AZE","","ALL","2011","99.78"
"AZE","","ALL","2012","99.78"
"AZE","","ALL","2013","99.79"
"AZE","","ALL","2014","99.79"
"AZE","","ALL","2015","99.79"
"AZE","","ALL","2016","99.79"
"AZE","","ALL","2017","99.79"
"AZE","","ALL","2019","99.8"
"BEL","","ALL","1981","100"
"BEL","","ALL","1984","99.5"
"BEL","","ALL","1985","99"
"BEL","","ALL","1990","99"
"BEL","","ALL","1992","99"
"BEL","","ALL","1993","99"
"BEL","","ALL","1994","99"
"BEL","","ALL","1995","99"
"BEL","","ALL","1997","99"
"BEL","","ALL","1998","99"
"BGR","","ALL","1970","92.4"
"BGR","","ALL","1975","93.7"
"BGR","","ALL","1980","95.1"
"BGR","","ALL","1984","100"
"BGR","","ALL","1985","96.3"
"BGR","","ALL","1990","97.2"
"BGR","","ALL","1995","97.9"
"BGR","","ALL","1997","98.2"
"BGR","","ALL","1998","98.2"
"BGR","","ALL","2001","98.2"
"BGR","","ALL","2011","98.35"
