"INDICATOR","HFA_296"

"HFA_296","Selected smoking-related causes, per 100 000, by sex (age-standardized death rate)"

"UNIT_TYPE","Unit"
"DTH_100K","deaths per 100 000"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATE","Rate"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1987","263.11"
"ALB","","ALL","1988","278.6"
"ALB","","ALL","1989","277.08"
"ALB","","ALL","1992","250.01"
"ALB","","ALL","1993","231.21"
"ALB","","ALL","1994","205.96"
"ALB","","ALL","1995","267.09"
"ALB","","ALL","1996","301.83"
"ALB","","ALL","1997","283.69"
"ALB","","ALL","1998","312.53"
"ALB","","ALL","1999","306.49"
"ALB","","ALL","2000","347.78"
"ALB","","ALL","2001","262.43"
"ALB","","ALL","2002","307"
"ALB","","ALL","2003","342.84"
"ALB","","ALL","2004","324.09"
"ALB","","ALL","2005","297.36"
"ALB","","ALL","2006","283.26"
"ALB","","ALL","2007","244.17"
"ALB","","ALL","2008","290.78"
"ALB","","ALL","2009","287.12"
"ARM","","ALL","1991","609.51"
"ARM","","ALL","1992","647.17"
"ARM","","ALL","1993","730.6"
"ARM","","ALL","1994","650.47"
"ARM","","ALL","1995","685"
"ARM","","ALL","1996","680.99"
"ARM","","ALL","1997","650.03"
"ARM","","ALL","1998","603.76"
"ARM","","ALL","1999","636.02"
"ARM","","ALL","2000","604.04"
"ARM","","ALL","2001","606.64"
"ARM","","ALL","2002","660.6"
"ARM","","ALL","2003","653.2"
"ARM","","ALL","2012","442.22"
"ARM","","ALL","2013","427.23"
"ARM","","ALL","2014","436.3"
"ARM","","ALL","2015","414.53"
"ARM","","ALL","2016","416.04"
"ARM","","ALL","2017","372.91"
"ARM","","ALL","2018","292.67"
"ARM","","ALL","2019","299.41"
"AUT","","ALL","1980","365.02"
"AUT","","ALL","1981","376.88"
"AUT","","ALL","1982","365.76"
"AUT","","ALL","1983","385.65"
"AUT","","ALL","1984","367.19"
"AUT","","ALL","1985","370.6"
"AUT","","ALL","1986","358.12"
"AUT","","ALL","1987","346.01"
"AUT","","ALL","1988","325.39"
"AUT","","ALL","1989","320.4"
"AUT","","ALL","1990","319.71"
"AUT","","ALL","1991","323.91"
"AUT","","ALL","1992","310.81"
"AUT","","ALL","1993","306.62"
"AUT","","ALL","1994","295.83"
"AUT","","ALL","1995","296.64"
"AUT","","ALL","1996","296.85"
"AUT","","ALL","1997","291.14"
"AUT","","ALL","1998","289.25"
"AUT","","ALL","1999","281.52"
"AUT","","ALL","2000","265.64"
"AUT","","ALL","2001","251.4"
"AUT","","ALL","2002","257"
"AUT","","ALL","2003","248.07"
"AUT","","ALL","2004","223.12"
"AUT","","ALL","2005","214.77"
"AUT","","ALL","2006","208.77"
"AUT","","ALL","2007","203.01"
"AUT","","ALL","2008","192.47"
"AUT","","ALL","2009","190.48"
"AUT","","ALL","2010","186.62"
"AUT","","ALL","2011","177.75"
"AUT","","ALL","2012","179.68"
"AUT","","ALL","2013","176.47"
"AUT","","ALL","2014","168.51"
"AUT","","ALL","2015","171.79"
"AUT","","ALL","2016","162.71"
"AUT","","ALL","2017","161.07"
"AUT","","ALL","2018","158.92"
"AUT","","ALL","2019","154.07"
"AUT","","ALL","2020","152.26"
"AUT","","ALL","2021","142.59"
"AZE","","ALL","1991","615.46"
"AZE","","ALL","1992","655.7"
"AZE","","ALL","1993","697.81"
"AZE","","ALL","1994","601.37"
"AZE","","ALL","1995","647.92"
"AZE","","ALL","1996","627.98"
"AZE","","ALL","1997","606.01"
"AZE","","ALL","1998","608.89"
"AZE","","ALL","1999","634.58"
"AZE","","ALL","2000","638.9"
"AZE","","ALL","2007","325.05"
"BEL","","ALL","1979","324.19"
"BEL","","ALL","1980","324.11"
"BEL","","ALL","1981","319.52"
"BEL","","ALL","1982","316.89"
"BEL","","ALL","1983","321.32"
"BEL","","ALL","1984","308.07"
"BEL","","ALL","1985","300.69"
"BEL","","ALL","1986","290.21"
"BEL","","ALL","1987","270.99"
"BEL","","ALL","1988","265.87"
"BEL","","ALL","1989","259.82"
"BEL","","ALL","1990","251.62"
"BEL","","ALL","1991","245.64"
"BEL","","ALL","1992","242.34"
"BEL","","ALL","1993","261.9"
"BEL","","ALL","1994","246.62"
"BEL","","ALL","1995","248.18"
"BEL","","ALL","1996","242.58"
"BEL","","ALL","1997","240.14"
"BEL","","ALL","1998","236.39"
"BEL","","ALL","1999","222.43"
"BEL","","ALL","2000","224.52"
"BEL","","ALL","2001","215.83"
"BEL","","ALL","2002","214.55"
"BEL","","ALL","2003","211.05"
"BEL","","ALL","2004","198.87"
"BEL","","ALL","2005","194.84"
"BEL","","ALL","2006","179.27"
"BEL","","ALL","2007","176.5"
"BEL","","ALL","2008","172.6"
"BEL","","ALL","2009","165.36"
"BEL","","ALL","2010","160.85"
"BEL","","ALL","2011","151.87"
"BEL","","ALL","2012","148.36"
"BEL","","ALL","2013","145.27"
"BEL","","ALL","2014","136.85"
"BEL","","ALL","2015","135.88"
"BEL","","ALL","2016","129.8"
"BEL","","ALL","2017","124.26"
"BEL","","ALL","2018","120.27"
"BGR","","ALL","1980","547.02"
"BGR","","ALL","1981","482.79"
"BGR","","ALL","1982","513.37"
"BGR","","ALL","1983","509.3"
"BGR","","ALL","1984","523.53"
"BGR","","ALL","1985","570.34"
"BGR","","ALL","1986","557.08"
"BGR","","ALL","1987","524.56"
"BGR","","ALL","1988","513.28"
"BGR","","ALL","1989","516.03"
"BGR","","ALL","1990","517.9"
"BGR","","ALL","1991","530.5"
"BGR","","ALL","1992","515.71"
"BGR","","ALL","1993","542.22"
"BGR","","ALL","1994","523.41"
"BGR","","ALL","1995","511.03"
"BGR","","ALL","1996","495.6"
"BGR","","ALL","1997","516.04"
"BGR","","ALL","1998","511.74"
"BGR","","ALL","1999","460.53"
"BGR","","ALL","2000","450.21"
"BGR","","ALL","2001","434.16"
"BGR","","ALL","2002","447.01"
"BGR","","ALL","2003","428.76"
"BGR","","ALL","2004","407.2"
"BGR","","ALL","2005","421.28"
"BGR","","ALL","2006","405.36"
"BGR","","ALL","2007","391.67"
"BGR","","ALL","2008","372.48"
"BGR","","ALL","2009","345.14"
"BGR","","ALL","2010","345.25"
"BGR","","ALL","2011","320.15"
"BGR","","ALL","2012","339.18"
"BGR","","ALL","2013","316.66"
"BGR","","ALL","2014","328.01"
"BGR","","ALL","2015","319.77"
"BGR","","ALL","2016","295.99"
"BGR","","ALL","2017","301.41"
"BGR","","ALL","2018","297.08"
"BGR","","ALL","2019","304.14"
"BGR","","ALL","2020","330"
"BIH","","ALL","1985","269.28"
"BIH","","ALL","1986","272.83"
"BIH","","ALL","1987","289.22"
"BIH","","ALL","1988","302.09"
"BIH","","ALL","1989","307.1"
"BIH","","ALL","1990","308.28"
"BIH","","ALL","1991","322.02"
"BIH","","ALL","2011","237.46"
"BIH","","ALL","2014","226.41"
"BIH","","ALL","2016","267.92"
"BLR","","ALL","1991","570.75"
"BLR","","ALL","1992","569.52"
"BLR","","ALL","1993","647.23"
"BLR","","ALL","1994","651.49"
"BLR","","ALL","1995","661.34"
"BLR","","ALL","1996","752.26"
"BLR","","ALL","1997","680.93"
"BLR","","ALL","1998","696.62"
"BLR","","ALL","1999","737.14"
"BLR","","ALL","2000","700.35"
"BLR","","ALL","2001","730.53"
"BLR","","ALL","2018","506.89"
"","CARINFONET","ALL","1991","630.83"
"","CARINFONET","ALL","1992","645.31"
"","CARINFONET","ALL","1993","709.8"
"","CARINFONET","ALL","1994","761.66"
"","CARINFONET","ALL","1995","742.79"
"","CARINFONET","ALL","1996","721.75"
"","CARINFONET","ALL","1997","666.15"
"","CARINFONET","ALL","1998","678.33"
"","CARINFONET","ALL","1999","629.72"
"","CARINFONET","ALL","2000","677.92"
"","CARINFONET","ALL","2001","658.96"
"","CARINFONET","ALL","2002","658.89"
"","CARINFONET","ALL","2003","651.8"
"","CARINFONET","ALL","2004","599.88"
"","CARINFONET","ALL","2005","598.58"
"","CARINFONET","ALL","2013","463.4"
"","CARINFONET","ALL","2014","440.57"
"","CARINFONET","ALL","2015","422.58"
"","CARINFONET","ALL","2016","401.95"
"CHE","","ALL","1995","211.42"
"CHE","","ALL","1996","203.87"
"CHE","","ALL","1997","203.69"
