COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,2001,7.43
ALB,,ALL,2008,9.82
ALB,,ALL,2011,12
AND,,ALL,2003,27.81
AND,,ALL,2004,30.51
AND,,ALL,2005,28.11
AND,,ALL,2006,30.48
AND,,ALL,2014,32.68
AND,,ALL,2015,32.42
AND,,ALL,2016,32.23
ARM,,ALL,2001,42.11
ARM,,ALL,2011,46.96
ARM,,ALL,2015,50.56
ARM,,ALL,2017,46.73
ARM,,ALL,2020,46.52
AUT,,ALL,1971,2.6
AUT,,ALL,1981,3.3
AUT,,ALL,1991,6.1
AUT,,ALL,2005,23.84
AUT,,ALL,2007,23.87
AUT,,ALL,2008,23.6
AUT,,ALL,2009,25.62
AUT,,ALL,2010,26.17
AUT,,ALL,2011,26.34
AUT,,ALL,2012,26.99
AUT,,ALL,2013,27.83
AUT,,ALL,2014,27.98
AUT,,ALL,2015,29.14
AUT,,ALL,2016,29.98
AUT,,ALL,2017,30.63
AUT,,ALL,2019,32.12
AZE,,ALL,1991,14
AZE,,ALL,1999,32.6
AZE,,ALL,2007,33.29
AZE,,ALL,2008,33.36
AZE,,ALL,2009,29.82
AZE,,ALL,2010,29.97
AZE,,ALL,2011,30
AZE,,ALL,2012,30.04
AZE,,ALL,2013,30.04
AZE,,ALL,2014,30.06
AZE,,ALL,2015,30.04
AZE,,ALL,2016,30.09
AZE,,ALL,2017,30.06
AZE,,ALL,2018,30.06
AZE,,ALL,2019,30.02
BEL,,ALL,1970,5.2
BEL,,ALL,2006,28.21
BEL,,ALL,2008,29.39
BEL,,ALL,2009,30.62
BEL,,ALL,2010,31.74
BEL,,ALL,2011,32.16
BEL,,ALL,2012,32.71
BEL,,ALL,2013,32.99
BEL,,ALL,2014,32.8
BEL,,ALL,2015,33.26
BEL,,ALL,2016,33.76
BEL,,ALL,2017,36.38
BEL,,ALL,2019,37.07
BGR,,ALL,1975,5.5
BGR,,ALL,1985,12.2
BGR,,ALL,1992,15
BGR,,ALL,2012,21.51
BGR,,ALL,2013,22.92
BGR,,ALL,2014,24.06
BGR,,ALL,2015,24.47
BGR,,ALL,2016,24.63
